
names,distances,velocities
SMC,0.032,170
LMC,0.034,290
NGC-221,0.275,-185
NGC-224,0.275,-220
NGC-598,0.263,-70
NGC-1055,1.1,450
NGC-1068,1.0,920
NGC-3031,0.9,-30
NGC-3627,0.9,650
NGC-4151,1.7,960
NGC-4214,0.8,300
NGC-4258,1.4,500
NGC-4382,2.0,500
NGC-4449,0.63,200
NGC-4472,2.0,850
NGC-4486,2.0,800
NGC-4649,2.0,1090
NGC-4736,0.5,290
NGC-4826,0.9,150
NGC-5194,0.5,270
NGC-5236,0.9,500
NGC-5357,0.45,200
NGC-6822,0.214,-130
NGC-7331,1.1,500
=======
version https://git-lfs.github.com/spec/v1
oid sha256:89b2c88f3d07ac0967b83926dfd47a63d456fdd02242bafed548d62541ee54fb
size 440
>>>>>>> 6f27ddb2cb71f43a45813c0164d64e70f8a29233
=======
version https://git-lfs.github.com/spec/v1
oid sha256:89b2c88f3d07ac0967b83926dfd47a63d456fdd02242bafed548d62541ee54fb
size 440
>>>>>>> 6f27ddb2cb71f43a45813c0164d64e70f8a29233
