0,1,2,3,4,5,6,7,8,9,10,11
uses,'',use,use,'',use,redirect|computer,for|the,selfref|to,multiple,'',computer
file,debugging,dmy,dmy,reverse,mdy,system||computer,tv,report,issues|,exception,science
operating,'',dates|date=september,dates|date=march,engineering,dates|date=october,disambiguation,programme|the,mediawiki,footnotes|date=may,handling,''
system,process,2013,2014,'',2014,|and|computer,computer,error,2013,'',high-level
placement,finding,refimprove|date=december,information,also,infobox,system,programme,wikipedia,one,process,programming
software,resolving,2013,security,called,military,disambiguation,file,see,source|date=may,responding,language
.svg|thumb|upright|a,defects,file,refimprove|date=july,'',person,pp-semi-indef,hello,wikipedia,2015,occurrence,''
diagram,prevent,crashed,2013,back,|name=grace,pp-move-indef,world,bug,refimprove|date=april,computation,programming
showing,correct,computer.jpg|thumb|a,'',engineering,murray,infobox|title,c.svg|thumb|300px|c,reports,2008,''exceptions,language
user,operation,crashed,malware,'',hopper,computer,programming,refimprove|date=august,file,'',strong
computing,computer,imac,'',process,|birth_date,|image,language,2015,winpdb-1.3.6.png|thumb,–,abstraction
|user,software,computing,short,engineering,birth,div,|c-language,use,|winpdb,anomalous,computer
interacts,system,'','',|processes,date|1906|12|9,style=,``,mdy,debugging,exceptional,science
application,numerous,crash,malicious,extracting,|death_date,'',hello,dates|date=september,'',conditions,|abstraction
software,books,'',software,knowledge,death,white-space,world,2012,debugger,requiring,details
typical,written,'','',design,date,nowrap,'',software,'',special,computer
desktop,debugging,system,software,information,age|1992|1|1|1906|12|9,'',source,development,'',processing,comparison
computer.the,see,crash,used,anything,|birth_place=new,file,code,process,debugging,–,low-level
application,reading|further,'',disrupt,man-made,york,acer,first,'',tool,often,programming
software,reading,occurs,computer,re-producing,city,aspire,known,software,'',changing,languages
layer,involves,computer,mobile,re-producing,new,8920,``,bug,computer,normal,may
interfaces,numerous,program,operations,anything,york,gemstone,hello,'',program,flow,use
operating,aspects,software,gather,based,u.s.,georgy.jpg|x81pxfile,world,error,used,computer,natural
system,including,application,sensitive,extracted,|death_place=arlington,columbia,'',flaw,software,program|program,language
turn,interactive,operating,information,information.,virginia,supercomputer,snippet,failure,testing|test,execution,elements
communicates,debugging,system,gain,ref,u.s.,nasa,programming,fault,debugging|debug,computing,easier
personal,control,stops,access,name=,|placeofburial=arlington,advanced,|snippet,technology,programs,|execution,use
computer,flow,functioning,private,'',national,supercomputing,seminal,|fault,``,provided,may
hardware|hardware,integration,properly,computer,eilam,cemetery,facility.jpg|x81pxfile,book,computer,target,specialized,automate
arrows,testing,exit,systems,'',|placeofburial_label=,intertec,''the,program,'',programming,even
indicate,logfile|log,system,display,cite,place,superbrain.jpg|x81px,c,software,program,language,hide
information,files,call,unwanted,book|authors=eilam,burial,br,programming,system|system,code,constructs,entirely
flow,monitoring,|exits,advertising.,eldad,|image=commodore,file:2010-01-26-technikkrempel-by-ralfr-05.jpg|x79pxfile,language,causes,examined,computer,significant
'',application,program,ref,|title=reversing,grace,thinking,book,produce,might,hardware,areas
computer,monitoring|application,responsible,cite,secrets,m.,machines,|the,incorrect,alternatively,mechanisms,computing
software,system,may,web|url=http,reverse,hopper,connection,c,unexpected,running,general,systems
'',monitoring|system,appear,//techterms.com/definition/malware|,engineering|publisher=john,usn,machine,programming,result,''instruction,exception,e.g
simply,memory,hang,title=malware,wiley,covered,cm-5,language,behave,set,breaks,memory
'',dumps,computing,definition|,sons|year=2005|isbn=978-0-7645-7481-8,.jpg,frostburg,'',unintended,simulator,normal,management
software,profiling,|hang,publisher=techterms.com,rp|3,|caption=rear,2.jpg|x79pxfile,originates,ways,'',flow,making
'',computer,crash,|accessdate=27,process,admiral,g5,brian,bugs,iss,execution,process
part,programming,reporter|crash,september,often,grace,supplying,kernighan,arise,technique,executes,developing
computer,|profiling,reporting,2015,involves,m.,wikipedia,dennis,mistakes,allows,pre-registered,program
system,statistical,service,term,disassembling,hopper,via,ritchie,errors,great,''exception,simpler
consists,process,reports,malware,something,1984,gigabit,1974.,made,power,handler,understandable
data,control,crash,coined,machine|mechanical,|nickname=,lange,'',either,ability,'',relative
computing,special,details,yisrael,device,'',nacht,computer,program,halt,details,lower-level
|data,design,relating,radai,electronic,amazing,der,program,'s,specific,done,language
computer,tactics,program,1990,component,grace,wissenschaften,'',source,conditions,depends,amount
instructions,improve,critical,malicious,computer,'',2006,collection,code,encountered,whether,abstraction
contrast,detection,part,software,program,|alma_mater,dresden.jpg|x79px,instruction,software,typically,hardware,provided
computer,simplifying,operating,referred,biological,yale,br,set|instructions,architecture|design,somewhat,software,defines
hardware|physical,changes,system,computer,chemical,university,file,ref,components,slower,exception,``
hardware,origin,entire,viruses.,organic,|allegiance=,dm,name=,operating,executing,software,high-level
system,computer,system,ref,matter,flagu|united,ibm,'',systems,code,exception,''
built,log,may,name=,analyzing,states,s360.jpg|x77pxfile,aup-ch4-p132,used,directly,implemented,programming
computer,entry,crash,'',components,america,acorn,'',programs,appropriate,exceptions,language
science,mark,hang,elisan2012,workings,|serviceyears=1943–1966,bbc,cite,caused,processor,especially,https
software,nbsp,computing,'',detail,1967–1971,master,book,compilers,debuggers,hardware,//web.archive.org/web/20070826224349/http
engineering,ii,|hang,cite,reasons,1972–1986,series,last,producing,offer,ones,//www.ittc.ku.edu/hybridthreads/glossary/index.php
