<<<<<<< HEAD
,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
116,6.5,3.0,5.5,1.8,2
142,5.8,2.7,5.1,1.9,2
148,6.2,3.4,5.4,2.3,2
67,5.8,2.7,4.1,1.0,1
133,6.3,2.8,5.1,1.5,2
107,7.3,2.9,6.3,1.8,2
136,6.3,3.4,5.6,2.4,2
147,6.5,3.0,5.2,2.0,2
146,6.3,2.5,5.0,1.9,2
97,6.2,2.9,4.3,1.3,1
123,6.3,2.7,4.9,1.8,2
82,5.8,2.7,3.9,1.2,1
96,5.7,2.9,4.2,1.3,1
146,6.3,2.5,5.0,1.9,2
75,6.6,3.0,4.4,1.4,1
133,6.3,2.8,5.1,1.5,2
128,6.4,2.8,5.6,2.1,2
86,6.7,3.1,4.7,1.5,1
146,6.3,2.5,5.0,1.9,2
130,7.4,2.8,6.1,1.9,2
=======
version https://git-lfs.github.com/spec/v1
oid sha256:04f7e54df5070e2c8c67df825610b804e1de87ff8715dc22bfd2463396fae2b6
size 511
>>>>>>> 6f27ddb2cb71f43a45813c0164d64e70f8a29233
