names,primary_types,secondary_types
Abomasnow,Grass,Ice
Abra,Psychic,
Absol,Dark,
Accelgor,Bug,
Aerodactyl,Rock,Flying
Aggron,Steel,Rock
Aipom,Normal,
Alakazam,Psychic,
Alomomola,Water,
Altaria,Dragon,Flying
Amaura,Rock,Ice
Ambipom,Normal,
Amoonguss,Grass,Poison
Ampharos,Electric,
Anorith,Rock,Bug
Arbok,Poison,
Arcanine,Fire,
Arceus,Normal,
Archen,Rock,Flying
Archeops,Rock,Flying
Ariados,Bug,Poison
Armaldo,Rock,Bug
Aromatisse,Fairy,
Aron,Steel,Rock
Articuno,Ice,Flying
Audino,Normal,
Aurorus,Rock,Ice
Avalugg,Ice,
Axew,Dragon,
Azelf,Psychic,
Azumarill,Water,Fairy
Azurill,Normal,Fairy
Bagon,Dragon,
Baltoy,Ground,Psychic
Banette,Ghost,
Barbaracle,Rock,Water
Barboach,Water,Ground
Basculin,Water,
Bastiodon,Rock,Steel
Bayleef,Grass,
Beartic,Ice,
Beautifly,Bug,Flying
Beedrill,Bug,Poison
Beheeyem,Psychic,
Beldum,Steel,Psychic
Bellossom,Grass,
Bellsprout,Grass,Poison
Bergmite,Ice,
Bibarel,Normal,Water
Bidoof,Normal,
Binacle,Rock,Water
Bisharp,Dark,Steel
Blastoise,Water,
Blaziken,Fire,Fighting
Blissey,Normal,
Blitzle,Electric,
Boldore,Rock,
Bonsly,Rock,
Bouffalant,Normal,
Braixen,Fire,
Braviary,Normal,Flying
Breloom,Grass,Fighting
Bronzong,Steel,Psychic
Bronzor,Steel,Psychic
Budew,Grass,Poison
Buizel,Water,
Bulbasaur,Grass,Poison
Buneary,Normal,
Bunnelby,Normal,
Burmy,Bug,
Butterfree,Bug,Flying
Cacnea,Grass,
Cacturne,Grass,Dark
Camerupt,Fire,Ground
Carbink,Rock,Fairy
Carnivine,Grass,
Carracosta,Water,Rock
Carvanha,Water,Dark
Cascoon,Bug,
Castform,Normal,
Caterpie,Bug,
Celebi,Psychic,Grass
Chandelure,Ghost,Fire
Chansey,Normal,
Charizard,Fire,Flying
Charmander,Fire,
Charmeleon,Fire,
Chatot,Normal,Flying
Cherrim,Grass,
Cherubi,Grass,
Chesnaught,Grass,Fighting
Chespin,Grass,
Chikorita,Grass,
Chimchar,Fire,
Chimecho,Psychic,
Chinchou,Water,Electric
Chingling,Psychic,
Cinccino,Normal,
Clamperl,Water,
Clauncher,Water,
Clawitzer,Water,
Claydol,Ground,Psychic
Clefable,Fairy,
Clefairy,Fairy,
Cleffa,Fairy,
Cloyster,Water,Ice
Cobalion,Steel,Fighting
Cofagrigus,Ghost,
Combee,Bug,Flying
Combusken,Fire,Fighting
Conkeldurr,Fighting,
Corphish,Water,
Corsola,Water,Rock
Cottonee,Grass,Fairy
Cradily,Rock,Grass
Cranidos,Rock,
Crawdaunt,Water,Dark
Cresselia,Psychic,
